"country","subject","Unit","Date","Value"
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-1.52
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-1.746
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.124
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.247
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.784
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-1.104
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-44.79
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-44.629
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-45.998
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-51.335
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-43.367
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-45.339
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-63.509
"Australia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-67.827
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",6.61
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",13.149
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",10.291
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",20.127
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",6.245
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",9.042
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",13.189
"Austria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",9.479
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",17.146
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",14.834
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",10.178
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",16.454
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",0.167
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",3.708
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",9.019
"Azerbaijan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",14.986
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",3.247
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",0.771
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",0.56
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",2.256
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",1.476
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",2.188
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",2.907
"Bahrain","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",2.221
"Bangladesh","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-1.337
"Bangladesh","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",0.507
"Bangladesh","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",2.663
