,All vehicles,Commercial vehicles,Current account balance (Percent of GDP),Current account balance (U.S. dollars),Employment (Persons),Export volume of goods and services (Percent change),Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP (Current international dollar),"Gross domestic product per capita, current prices (U.S. dollars)","Gross domestic product, constant prices (Percent change)","Gross domestic product, current prices (U.S. dollars)","Gross domestic product, deflator (Index)",Gross national savings (Percent of GDP),Import volume of goods and services (Percent change),"Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Investment (Percent of GDP),Output gap in percent of potential GDP (Percent of potential GDP),Passengers Cars,Population (Persons),Trade volume of goods and services (Percent change),Unemployment rate (Percent of total labor force),country,year
778,6480.0,480.0,-8.516,-0.784,,4.257,19.365,2853.34,13.749,9.206,109.04799999999999,29.645,30.265,185.727,4.553,38.161,,6000.0,3.227,,28.7,armenia,2007
779,4400.0,400.0,-14.969000000000001,-1.746,,-16.128,21.116999999999997,3605.85,6.9479999999999995,11.662,115.52799999999999,25.901999999999997,18.070999999999998,202.476,9.017999999999999,43.809,,4000.0,3.234,,16.4,armenia,2008
780,4400.0,400.0,-17.581,-1.52,,-10.394,18.266,2661.313,-14.15,8.648,118.48200000000001,16.241,-12.546,209.65099999999998,3.5439999999999996,33.821999999999996,,4000.0,3.25,,18.7,armenia,2009
781,4400.0,400.0,-14.235,-1.318,,32.241,18.896,2838.315,2.2,9.26,127.68700000000001,15.185,2.369,224.90099999999998,7.274,29.419,,4000.0,3.263,,19.0,armenia,2010
782,4400.0,400.0,-11.078,-1.124,,8.802999999999999,20.192999999999998,3097.49,4.7,10.142000000000001,133.154,15.922,-4.871,242.112,7.653,27.000999999999998,,4000.0,3.2739999999999996,,19.0,armenia,2011
783,5400.0,400.0,-11.085,-1.104,,5.705,22.022,3035.157,7.1339999999999995,9.958,131.616,12.353,5.176,248.195,2.513,23.438000000000002,,5000.0,3.281,,19.0,armenia,2012
792,30700.0,28700.0,3.872,1.9380000000000002,,,255.672,1793.624,4.401,50.065,169.28099999999998,38.799,,60.638999999999996,36.959,,,2000.0,27.913,,,iraq,2005
793,32200.0,27200.0,12.875,8.387,,,290.298,2265.847,10.158,65.14399999999999,199.76,24.537,,92.929,53.248000000000005,,,5000.0,28.75,,,iraq,2006
794,35000.0,31000.0,7.749,6.882999999999999,,,302.128,3002.723,1.3780000000000001,88.833,229.75599999999997,18.569000000000003,,121.57,30.820999999999998,,,4000.0,29.584,,,iraq,2007
795,62000.0,42000.0,12.777000000000001,16.816,,,328.414,4327.616,6.609,131.614,303.628,40.029,,124.81299999999999,2.668,,,20000.0,30.413,,,iraq,2008
796,63000.0,28000.0,-7.976,-8.906,,,350.13,3574.991,5.809,111.66,238.743,16.074,,122.074,-2.194,,,35000.0,31.234,,,iraq,2009
797,165000.0,100000.0,2.9610000000000003,4.101,,,374.037,4373.532,5.539,138.517,280.624,27.339000000000002,,125.05799999999999,2.445,,,65000.0,31.671999999999997,,,iraq,2010
798,131500.0,60000.0,12.007,22.304000000000002,,,420.75199999999995,5686.514,10.214,185.75,341.439,33.334,,132.067,5.604,,,71500.0,32.665,,,iraq,2011
799,120000.0,40000.0,6.709,14.494000000000002,,,472.38699999999994,6410.227,10.292,216.044,358.836,28.776,,140.108,6.0889999999999995,,,80000.0,33.703,,,iraq,2012
800,35412.0,8380.0,11.880999999999998,21.572,3.5380000000000003,10.583,248.324,26553.926,7.388,181.57,92.708,34.435,7.97,90.133,0.905,21.06,,27032.0,6.837999999999999,,5.5760000000000005,hong kong sar,2005
801,35078.0,7590.0,12.693,24.564,3.582,9.416,273.954,28030.896,7.0329999999999995,193.53400000000002,92.212,33.435,9.123,91.958,2.025,22.285,,27488.0,6.904,,4.781000000000001,hong kong sar,2006
802,40659.0,7535.0,13.020999999999999,27.551,3.625,8.34,299.426,30496.828999999998,6.465,211.59900000000002,95.105,33.227,9.141,93.81700000000001,2.021,21.396,,33124.0,6.938,,4.022,hong kong sar,2007
803,43549.0,8935.0,14.981,32.851,3.637,2.5269999999999997,311.796,31488.09,2.128,219.28,96.324,31.014,2.235,97.825,4.273,21.041,,34614.0,6.9639999999999995,,3.522,hong kong sar,2008
804,32535.0,4103.0,9.884,21.156999999999996,3.661,-10.047,306.438,30593.782000000003,-2.459,214.046,95.962,30.998,-8.993,98.4,0.588,21.846999999999998,,28432.0,6.996,,5.246,hong kong sar,2009
805,48839.0,7599.0,7.002000000000001,16.008,3.635,16.768,331.17400000000004,32421.071,6.768,228.637,96.22200000000001,30.683000000000003,17.372,100.675,2.312,23.89,,41240.0,7.0520000000000005,,4.322,hong kong sar,2010
806,53057.0,8488.0,5.558,13.812000000000001,3.705,3.877,354.18800000000005,34940.949,4.7860000000000005,248.514,100.0,27.748,4.609,105.992,5.281000000000001,24.143,,44569.0,7.112,,3.398,hong kong sar,2011
807,61200.0,8400.0,1.578,4.145,3.781,1.896,366.13599999999997,36588.629,1.55,262.63,103.698,27.479,2.9219999999999997,110.30799999999999,4.073,25.219,,52800.0,7.178,,3.293,hong kong sar,2012
808,348767.0,75167.0,2.937,2.531,,-8.481,305.494,1829.7620000000002,2.7,86.18299999999999,70.994,25.561,12.847999999999999,15971041.896,13.52,22.624000000000002,,273600.0,47.101000000000006,,7.185,ukraine,2005
809,511788.0,133788.0,-1.501,-1.617,,2.698,337.86800000000005,2304.9179999999997,7.3,107.75299999999999,81.557,23.261,12.383,17420502.757,9.076,24.761,,378000.0,46.748999999999995,,6.81,ukraine,2006
810,607256.0,93156.0,-3.694,-5.272,,3.173,374.26,3071.492,7.9,142.719,100.113,24.516,20.301,19657809.595,12.843,28.21,,514100.0,46.466,,6.351,ukraine,2007
811,705926.0,95726.0,-7.086,-12.763,,2.282,390.37800000000004,3899.2670000000003,2.3,180.11599999999999,128.72899999999998,20.854,13.492,24611841.885,25.201,27.94,,610200.0,46.192,,6.3629999999999995,ukraine,2008
